WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((4.87881683429181 52.4228266428017,4.87918876868272 52.4228645651656,4.87946585729146 52.4228827054629,4.87972651112204 52.421915094485,4.87946418541255 52.4219054943994,4.87910313795842 52.4218688304606,4.87877698695292 52.4218117296873,4.87852339206183 52.4228007993007,4.87881683429181 52.4228266428017)))","9310384",{DF002F44-EB6B-4681-AA89-B492CC18E0E8},Sportpark Oostzanerwerf,Sportpark Oostzanerwerf,Sportveld (begroeid),Gras- en kruidachtigen,SPN-OOST-01,Voetbal,2009,Gras,7099.88199,351.13302
"MULTIPOLYGON (((4.93383963482342 52.3406380531106,4.9331199536192 52.3402072022235,4.93201419491256 52.340897442524,4.9327384638348 52.3413295236241,4.93383963482342 52.3406380531106)))","9381361",{69267C62-AB89-438C-BFCB-A396F5D1565A},Sportpark Drieburg,Sportpark Drieburg 03,Sportveld (begroeid),Gras- en kruidachtigen,SPO-DRIE-06,Voetbal,2020,Gras,7392.25811,352.55628
"MULTIPOLYGON (((4.91036717491611 52.4148329315635,4.91057776305722 52.4147823148256,4.91058138735343 52.414781443327,4.91039076151684 52.4144780869829,4.91017480331799 52.4145295186898,4.91036717491611 52.4148329315635)))","9445214",{1727716F-5447-4A52-B847-8D497CFCF719},Sportpark Kadoelen,Sportpark Kadoelen 01,Sportveld (verhard),Halfverharding,SPN-KAD-13,Tennis,1982,Gravel,568.58144,103.79528
"MULTIPOLYGON (((4.81100634471635 52.3396144789544,4.8109982767978 52.3396150896235,4.81099032647259 52.3396161286689,4.81098255424726 52.339617588183,4.81097501927296 52.3396194570581,4.81096777889521 52.3396217210709,4.8109608882175 52.339624362991,4.81095439968199 52.3396273627118,4.81094836267025 52.3396306974038,4.81094282312755 52.3396343416879,4.81093782321321 52.3396382678291,4.81093340097964 52.339642445947,4.81092959008279 52.3396468442439,4.81092641952604 52.339651429246,4.81092391343938 52.3396561660588,4.81092209089586 52.3396610186323,4.81092096576634 52.3396659500354,4.81092054661396 52.3396709227374,4.81092083662897 52.3396758988928,4.8109218336044 52.3396808406303,4.81092352995291 52.3396857103401,4.8109259127645 52.3396904709607,4.81092896390467 52.339695086261,4.81093266015265 52.3396995211157,4.81093697337784 52.3397037417728,4.81094187075412 52.3397077161105,4.81094731500959 52.3397114138815,4.81095326471016 52.3397148069437,4.81095967457501 52.3397178694735,4.81096649582117 52.3397205781634,4.81097367653471 52.3397229123983,4.81098116206593 52.3397248544134,4.81098889544528 52.3397263894287,4.81099681781685 52.3397275057617,4.81100486888642 52.3397281949164,4.81101298738026 52.339728451648,4.81102111151147 52.3397282740025,4.8110291794503 52.339727663332,4.81103712979461 52.339726624284,4.81104490203725 52.3397251647664,4.81105243702661 52.3397232958869,4.81105967741665 52.3397210318689,4.81106656810351 52.3397183899432,4.81107305664481 52.3397153902162,4.81107909365876 52.339712055518,4.8110846332 52.3397084112275,4.8110896331093 52.3397044850802,4.81109405533441 52.3397003069564,4.81109786621958 52.3396959086543,4.81110103676184 52.3396913236476,4.81110354283161 52.3396865868311,4.81110536535636 52.3396817342549,4.81110649046581 52.3396768028499,4.81110690959742 52.3396718301473,4.81110661956158 52.3396668539923,4.81110562256587 52.3396619122563,4.81110392619826 52.3396570425491,4.81110154336937 52.3396522819319,4.81109849221413 52.339647666636,4.81109479595388 52.3396432317864,4.81109048271951 52.339639011135,4.81108558533745 52.3396350368035,4.8110801410798 52.3396313390387,4.81107419138067 52.3396279459829,4.81106778152083 52.3396248834592,4.81106096028317 52.3396221747752,4.8110537795813 52.3396198405455,4.81104629406456 52.3396178985349,4.81103856070211 52.3396163635235,4.81103063834929 52.3396152471933,4.81102258729979 52.3396145580403,4.81101446882673 52.3396143013094,4.81100634471635 52.3396144789544)))","9480105",{4E77716A-EEB7-4EB9-8FA3-74A8D9C35C30},Sportpark Sloten,Sportpark Sloten 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-SLO-GOLF-09,Golf,0,Gras,126.54326,39.88984
"MULTIPOLYGON (((4.88743843401237 52.3181715878292,4.88649950568878 52.3181545493577,4.8864593022477 52.3190539600297,4.88739787320078 52.3190692536168,4.88743843401237 52.3181715878292)))","9502237",{CC87D3D7-71C6-42B6-A4AE-0F363330108D},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-LOO-14,Voetbal,2004,Gras,6404.13802,328.09249
"MULTIPOLYGON (((4.88378365902276 52.3189552022615,4.88393389254012 52.318964029352,4.88396909632355 52.318062512931,4.88381886584789 52.3180536858875,4.88378365902276 52.3189552022615)))","9539111",{F24A0A87-85E6-46FC-8FA8-2A028386DF9E},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-LOO-98,Cricket,2003,Gras,1029.8426,221.25175
"MULTIPOLYGON (((4.89494693004514 52.4137474829193,4.89491565013423 52.4137220165568,4.89479655281497 52.4137791988018,4.89475067327832 52.4137394805528,4.89454486552322 52.413844313669,4.89468205720248 52.4139414834937,4.89475944437818 52.4140077548941,4.8948980365296 52.4139478769014,4.89481441320047 52.4138828479396,4.89482552848415 52.4138780324517,4.89491019351197 52.413942642979,4.89505088741793 52.413880237012,4.89496111484868 52.4138086299122,4.89487528730158 52.4138486463889,4.89482186645037 52.4138031896433,4.89491254028893 52.4137625592089,4.89494693004514 52.4137474829193)))","9604415",{7827DDF9-851E-4618-8E4C-2512DCEAAD34},Sportpark Tuindorp-Oostzaan,Sportpark Tuindorp-Oostzaan,Sportveld (verhard),Halfverharding,SPN-TUI-08,Jeu de Boules,0,Gravel,512.47562,137.67885
"MULTIPOLYGON (((4.8238859519753 52.3873739813224,4.82389815584916 52.3867591530615,4.82389869905895 52.3867314285078,4.82385719077614 52.3867311681502,4.82236595120945 52.3867215575041,4.8223134858377 52.3867212173817,4.82231303539738 52.3867450417002,4.82230117478477 52.3873634845762,4.82234891626174 52.3873634067105,4.82318208649244 52.3873700739786,4.8238859519753 52.3873739813224)))","9609031",{4DE4F0CE-67EE-4B00-BC7B-8E2B8DE96A18},Sportpark Spieringhorn,Sportpark Spieringhorn,Sportveld (verhard),Kunststofverharding,SPW-SPIERING-02,Hockey,2017,Kunstgras — water,7716.87262,358.78965
"MULTIPOLYGON (((4.85161727128775 52.3415791682776,4.85164312648252 52.341583693474,4.85172589465393 52.3415836271904,4.85178353260659 52.34157859815,4.85184846830709 52.3415652265398,4.85186653463781 52.3415591368039,4.85170399897678 52.3413701718659,4.85169102890241 52.3413714356322,4.85161727128775 52.3415791682776)))","9617896",{3DA24914-4129-4125-96EA-6DAFCF95C607},Sportpark De Schinkel,Sportpark De Schinkel,Sportveld (verhard),Halfverharding,,Atletiek,0,Gravel,217.92587,65.82783
"MULTIPOLYGON (((4.79585963962093 52.3690909132346,4.79562349192303 52.369086902293,4.79560898368154 52.3694172984441,4.79584822968028 52.369421139431,4.79585963962093 52.3690909132346)))","9622320",{573AE120-7EBE-492D-9A9F-CA2376F3F908},Sportpark Ookmeer,Sportpark Ookmeer 02,Sportveld (verhard),Halfverharding,SPW-OOK-37,Tennis,2013,Gravel,595.35723,105.91535
"MULTIPOLYGON (((4.80482396189135 52.3667735644438,4.80332982337047 52.3664686466264,4.80299986515938 52.3670773069316,4.80449443399518 52.3673810355581,4.80482396189135 52.3667735644438)))","9716332",{B738F86E-5E77-496A-B589-EC5C043F9828},Sportpark Ookmeer,Sportpark Ookmeer 07,Sportveld (verhard),Kunststofverharding,SPW-OOK-34,Voetbal,2011,Kunstgras — kurk,7646.61185,357.10428
"MULTIPOLYGON (((4.79760338010199 52.3675045539988,4.79789738955649 52.3669529907371,4.79809815101627 52.3665755414058,4.79748594350375 52.3664533244223,4.79707989822143 52.3663717412537,4.79658452819272 52.3673002074389,4.79712510224691 52.3674084735033,4.79760338010199 52.3675045539988)))","9802229",{976D9592-C055-4C27-92C7-0C50CEC4CE8A},Sportpark Ookmeer,Sportpark Ookmeer 06,Sportveld (verhard),Kunststofverharding,SPW-OOK-21,Voetbal,2013,Kunstgras — rubber,7933.58189,363.38832
"MULTIPOLYGON (((4.85834567267725 52.3294741233714,4.85834390349857 52.3296280388802,4.85887546234332 52.3296286532157,4.85887851160417 52.3294892225972,4.85887860012918 52.3294777760414,4.85834567267725 52.3294741233714)))","9818397",{84CCA595-CF68-4EC9-9E32-48434CF32D30},Sportpark Buitenveldert West,Sportpark Buitenveldert West,Sportveld (verhard),Halfverharding,SPZ-BUWE-04,Tennis,0,Gravel,615.32711,106.47988
"MULTIPOLYGON (((4.94801478705654 52.3474111287011,4.94854971009309 52.3470758300175,4.94912367098088 52.3467158942502,4.9484118336813 52.3462885245501,4.94746583767087 52.3468829401709,4.94730180046085 52.3469841705415,4.9474690699458 52.3470840704962,4.94801478705654 52.3474111287011)))","9883515",{9D265C5F-0FA1-4EAC-93CB-B7E5F78389DA},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 01,Sportveld (verhard),Kunststofverharding,SPO-MIDD-06,Voetbal,2020,Kunstgras — rubber,7342.34453,352.23199
"MULTIPOLYGON (((4.88042734866881 52.3359402174918,4.8804227625831 52.3369038498096,4.88143807169131 52.3369057218829,4.88144225826797 52.3359417373611,4.88042734866881 52.3359402174918)))","9890471",{8C81838C-9D1E-44CF-BC4A-88BD65A37C4C},Sportpark Goed Genoeg,Sportpark Goed Genoeg,Sportveld (verhard),Kunststofverharding,SPZ-GOED-04,Voetbal,2008,Kunstgras — rubber,7419.4662,352.85015
"MULTIPOLYGON (((4.8550428662032 52.3310929158002,4.8547840242475 52.3310868052103,4.8547628869682 52.3314169221121,4.85502285501997 52.3314227338283,4.8550428662032 52.3310929158002)))","9941269",{18B2A7A4-3E0D-4DF2-B1D7-3B9BD6D8EDE5},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-09,Tennis,0,Gravel,650.11159,108.8705
"MULTIPOLYGON (((4.80400929980116 52.3702330739107,4.80405154156126 52.3701359926392,4.80400740731787 52.3701277513843,4.8039553739598 52.370221775456,4.80400929980116 52.3702330739107)))","9946819",{0CD4A4D9-8B9D-4367-9D3B-BBEC7E1AE408},Sportpark Ookmeer,Sportpark Ookmeer 05,Sportveld (verhard),Onverhard,SPW-OOK-47,Atletiek,0,Zand,38.99116,29.24827
"MULTIPOLYGON (((4.9877503862236 52.3787620531803,4.98781728956438 52.3787953588339,4.98790547460892 52.3787366486126,4.98784152527861 52.3786997767528,4.9877503862236 52.3787620531803)))","9990688",{623115B7-81F6-4CE6-B0C8-60CAB4796FD3},Sportpark Durgerdam,Sportpark Durgerdam,Sportveld (verhard),Kunststofverharding,SPN-DUR-04,Voetbal,0,Kunstgras,53.82138,30.0299
"MULTIPOLYGON (((4.93482906901261 52.3394238729676,4.93497411839286 52.3395132383417,4.93498853876429 52.3395209903991,4.93532380993202 52.3397253522137,4.9353382364587 52.3397325121779,4.93591998560834 52.3400859346417,4.93599629678699 52.3400387565447,4.93604302424583 52.3400063706499,4.93615491039202 52.3399351562443,4.93641916387115 52.3397684582869,4.9366523725147 52.3396274218456,4.93554487693577 52.3389580547762,4.93550135710694 52.3389602569727,4.9352970150443 52.3390873647466,4.93503055484775 52.3392512394399,4.93479027777698 52.3394007078274,4.93482906901261 52.3394238729676)))","9999820",{DB134253-7A08-4A18-9960-C21D70EB71DA},Sportpark Drieburg,Sportpark Drieburg 03,Sportveld (begroeid),Gras- en kruidachtigen,SPO-DRIE-02,Voetbal,2019,Gras,7692.02273,357.67938
"MULTIPOLYGON (((4.93778389101095 52.3156439455115,4.93777140447292 52.3156396652311,4.93756806778751 52.3155700012042,4.93730613989417 52.315854061998,4.93753288827725 52.3159315785852,4.93778389101095 52.3156439455115)))","10024935",{D042439B-1C21-47E8-AF02-2B4B0BF2E157},Sportpark Strandvliet,Sportpark Strandvliet,Sportveld (verhard),Halfverharding,SPO-STRAND-06,Tennis,2015,Gravel,627.25789,107.1604
"MULTIPOLYGON (((4.85107794448743 52.3211021456427,4.85134359620372 52.3211057404757,4.85135037918413 52.3207633257163,4.85108620903456 52.3207597507224,4.85107794448743 52.3211021456427)))","10076031",{0B1DE78B-1460-4817-B854-43CA94ABDD82},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (verhard),Halfverharding,SPZ-AMSTER-33,Tennis,2007,Gravel,688.31253,112.33436
"MULTIPOLYGON (((4.85136563361629 52.3206934754546,4.85162695215798 52.3206944676283,4.85163040955738 52.3203529458377,4.85136753260578 52.3203519463593,4.85136563361629 52.3206934754546)))","10100640",{0E407F45-9E11-4F6D-900A-000E73902C9B},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (verhard),Halfverharding,SPZ-AMSTER-29,Tennis,2007,Gravel,679.07859,111.74124
"MULTIPOLYGON (((4.84956449456677 52.3183944603783,4.8495824237174 52.3175758311463,4.84877648238323 52.3175698468434,4.84876011687187 52.3183877191524,4.84956449456677 52.3183944603783)))","10127876",{55B76794-1514-4BF2-A142-D1340CC24217},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 03,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-AMSTER-13,Hockey,2005,Gras,4999.02962,291.90838
"MULTIPOLYGON (((4.82873368566193 52.3858600310639,4.82873603193559 52.3856900842401,4.82829527607891 52.3856880049173,4.82829295749152 52.3858579518687,4.82873368566193 52.3858600310639)))","10130993",{5DC1E6AB-9D13-4B11-9871-A629ED97E889},Sportpark Spieringhorn,Sportpark Spieringhorn,Sportveld (verhard),Kunststofverharding,SPW-SPIERING-18,Voetbal,2016,Kunstgras — rubber,567.43237,97.83401
"MULTIPOLYGON (((4.82317016675023 52.3854781274279,4.8231392282662 52.3854446135948,4.82240914051381 52.385443132192,4.82239588999142 52.3863019687358,4.82315729376257 52.3862891187812,4.82317016675023 52.3854781274279)))","10138563",{B4E8D767-1029-4ED3-BE36-972F702934FB},Sportpark Spieringhorn,Sportpark Spieringhorn,Sportveld (begroeid),Gras- en kruidachtigen,SPW-SPIERING-10,Voetbal,2020,Gras,4907.93428,291.64845
"MULTIPOLYGON (((4.78715597765294 52.3811759372036,4.78718591856139 52.3802755240019,4.78624365550969 52.3802668000046,4.78620985641484 52.3811665463369,4.78715597765294 52.3811759372036)))","10190369",{6DB39A1A-2B46-4585-9423-F2016D4FAC0F},Sportpark De Eendracht,Sportpark De Eendracht 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-EEND-11,Australian football,2007,Gras,6440.61659,328.93763
"MULTIPOLYGON (((4.78385786368717 52.3774166537119,4.78384365279278 52.3780304640638,4.78384253780992 52.3780646488283,4.78484595739631 52.3780756699316,4.78487009651127 52.3771159458118,4.7845652472954 52.3771089269854,4.78411191035828 52.3771039507342,4.78387374074024 52.3771007664427,4.78386938040512 52.3771347030656,4.78385786368717 52.3774166537119)))","10232991",{5FAF847F-6D20-45C6-BF9B-3DF506B4527E},Sportpark De Eendracht,Sportpark De Eendracht 02,Sportveld (begroeid),Gras- en kruidachtigen,SPW-EEND-22,Voetbal,2005,Gras,7320.0853,350.28033
"MULTIPOLYGON (((4.85451048723804 52.3317588145374,4.85452858052988 52.3315764155485,4.8543811446509 52.3315722084219,4.85437317186173 52.3317546529643,4.85451048723804 52.3317588145374)))","10262349",{AD942F96-F825-4D7A-A096-F6CDE3F4E9E9},Sportpark Amstel (Tennispark),Sportpark Amstel (Tennispark),Sportveld (verhard),Halfverharding,SPZ-AMSTEL-02,Tennis,0,Gravel,591.21634,105.66099
"MULTIPOLYGON (((4.84390907452643 52.3391106722834,4.84414347157619 52.3391123004256,4.84415197790517 52.3387854051584,4.84391848412771 52.3387837811743,4.84390907452643 52.3391106722834)))","10266034",{806415BA-E0EF-4104-9AAF-ECFDFD5E7F25},Sportpark Jaagpad,Sportpark Jaagpad,Sportveld (verhard),Halfverharding,SPZ-JAAG-12,Tennis,2018,Gravel,580.02325,104.64396
"MULTIPOLYGON (((4.85389727887306 52.3182507222149,4.85363766005418 52.3182485909188,4.85363040423844 52.3185804068464,4.85389085626347 52.3185825449652,4.85389727887306 52.3182507222149)))","10320263",{CB16D046-E6F8-4980-8965-DD7CF3B65323},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 04,Sportveld (verhard),Halfverharding,SPZ-AMSTER-28,Tennis,2013,Gravel,654.70973,109.30922
"MULTIPOLYGON (((4.94776994789497 52.3449585720948,4.94794546012171 52.3448494144629,4.94756461376199 52.3446207996428,4.94738888224805 52.3447303222567,4.94776994789497 52.3449585720948)))","10330146",{26F0987E-03E3-4D7E-9D2A-D37A5DB9B7A2},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 05,Sportveld (verhard),Halfverharding,SPO-MIDD-38,Tennis,2015,Gravel,619.99045,106.79168
"MULTIPOLYGON (((4.80498862029039 52.3365288867853,4.80570911305586 52.3360766622708,4.80460190321275 52.3354033588982,4.80386509121157 52.3358549309246,4.80498862029039 52.3365288867853)))","10374440",{9236C7FD-39C9-4109-8722-FE0E1F5AF461},Sportpark Sloten,Sportpark Sloten 02,Sportveld (verhard),Kunststofverharding,SPW-SLO-05,Voetbal,2015,Kunstgras — rubber,7544.68308,354.86034
"MULTIPOLYGON (((4.88451602799175 52.3205569558469,4.88452186221296 52.3204509604645,4.88452483541386 52.3203968934616,4.88425916039093 52.3203911895294,4.88424703615398 52.3206614642627,4.88424364674305 52.3207159878655,4.88450815241582 52.3207215071018,4.88451275786521 52.3206165221241,4.88451543662682 52.3205677387026,4.88451602799175 52.3205569558469)))","10383032",{062EE7F8-83FE-4999-8BFE-64137ED98E56},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (verhard),Kunststofverharding,SPZ-LOO-19,Tennis,2017,Kunstgras — keramisch zand (smashcourt),651.72775,108.46014
"MULTIPOLYGON (((4.89504460262515 52.4141845119732,4.8950428587329 52.414185367542,4.89504804971718 52.4141891099833,4.89500127504496 52.4142120498463,4.89492195886719 52.4142495043303,4.89484115081087 52.4142876086588,4.89477741991279 52.4143179646676,4.89479774920695 52.4143336876324,4.89482246173254 52.4143530957622,4.89485639015659 52.4143804333221,4.89509257939872 52.4145654272791,4.89531311821823 52.4147397054399,4.89550843186455 52.4148931889791,4.89555913459611 52.4149322169457,4.89564403688386 52.4149994102047,4.89569914772431 52.4150425637438,4.89572921878731 52.4150665955733,4.8957438687979 52.4150789154654,4.89578265161294 52.4150596270938,4.8959557189264 52.4149767867751,4.89641760930756 52.4147573355842,4.896497580658 52.4147204130872,4.89657020535281 52.4146859047503,4.89648866098377 52.4146220155324,4.89642310317321 52.4145705594542,4.89637752275851 52.4145334944027,4.89633234594706 52.4144984801849,4.89626166683019 52.4144423202427,4.89619660852574 52.4143922591878,4.89616548227363 52.4143666412772,4.89613148644394 52.4143413350196,4.896117996634 52.4143304400274,4.89604917881851 52.4142761391212,4.89560269906779 52.4139243720655,4.89557187505865 52.4139391276875,4.89554825978679 52.4139506327293,4.89538564673592 52.4140294444591,4.89533921653561 52.4140518376398,4.89521332802017 52.414111289435,4.89515922911627 52.41413729968,4.89508327941455 52.4141734021321,4.89507715547523 52.4141689637697,4.89504460262515 52.4141845119732)))","10407757",{1CC7EF37-D311-4C9D-91F1-F4E6EAE29B9D},Sportpark Tuindorp-Oostzaan,Sportpark Tuindorp-Oostzaan,Sportveld (verhard),Kunststofverharding,SPN-TUI-02,Voetbal,2012,Kunstgras — rubber,7624.33811,358.13133
"MULTIPOLYGON (((4.95392246009674 52.3465286706962,4.95402131714711 52.3464678509076,4.95394807245664 52.3464214458604,4.95385247360852 52.3464840327279,4.95392246009674 52.3465286706962)))","10420348",{94ECB217-283B-44A4-9AF5-775735413C3F},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Onverhard,SPO-MIDD-52,Atletiek,0,Zand,67.05925,33.15062
"MULTIPOLYGON (((4.84414437312931 52.3391123045628,4.84439140544545 52.3391128856889,4.84439451417197 52.3387848611437,4.84415198465944 52.3387848529355,4.84414437312931 52.3391123045628)))","10426500",{16A1D676-E51D-45B7-8612-F5936E3002C1},Sportpark Jaagpad,Sportpark Jaagpad,Sportveld (verhard),Halfverharding,SPZ-JAAG-13,Tennis,2018,Gravel,608.35247,106.30102
"MULTIPOLYGON (((4.8499313173557 52.319858290966,4.84995072465132 52.318913884167,4.848409633611 52.3188995347688,4.84837667500691 52.3198157381154,4.8499313173557 52.319858290966)))","10433084",{0410DE46-1A18-4256-A625-790CD1850950},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (begroeid),Gras- en kruidachtigen,SPZ-AMSTER-08,Cricket,2005,Gras,10929.88333,418.24678
"MULTIPOLYGON (((4.8452595911282 52.3391176931979,4.84551565924372 52.3391166565949,4.84551966120899 52.3387886361356,4.84526179189251 52.3387896644927,4.8452595911282 52.3391176931979)))","10466791",{208BB0A7-6D68-4BB8-B17B-B353FC498AE4},Sportpark Jaagpad,Sportpark Jaagpad,Sportveld (verhard),Halfverharding,SPZ-JAAG-01,Tennis,2018,Gravel,639.16407,108.02368
"MULTIPOLYGON (((4.9533010045658 52.3473342658731,4.95221359130676 52.3480173272438,4.95305559423205 52.3485168681804,4.95317166246339 52.348444845768,4.95307458426015 52.3483783415131,4.95403551523498 52.3477710405077,4.9533010045658 52.3473342658731)))","10469844",{33EAB9A7-8FCB-42D6-B33B-1904F794F03B},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (verhard),Kunststofverharding,SPO-MIDD-26,Voetbal,2012,Kunstgras — rubber,7533.3095,371.05921
"MULTIPOLYGON (((4.94574846519748 52.349833391465,4.94523683608001 52.3501542043127,4.94597335296438 52.3505958044079,4.94651584063321 52.3502549887788,4.94660683108928 52.3501980038271,4.94707389010116 52.349905492462,4.94633763437109 52.3494642506491,4.94574846519748 52.349833391465)))","10513985",{F161AD0A-399D-4CCD-8E7E-ADBBE9CCAFB6},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 02,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-18,Voetbal,2017,Gras,7534.40041,355.09103
"MULTIPOLYGON (((4.8586014980138 52.393652565079,4.85864323659898 52.3926890370477,4.8576052013977 52.3926735250069,4.85756413342494 52.3936355997384,4.8586014980138 52.393652565079)))","10525938",{4928F7CC-F438-4243-A1A0-A4B8A0E820EE},Sportpark Transformatorweg,Sportpark Transformatorweg,Sportveld (verhard),Kunststofverharding,SPW-TRANS-03,Voetbal,2018,Kunstgras — kurk,7572.10129,355.64637
"MULTIPOLYGON (((4.91485905199936 52.415894025063,4.91579713854573 52.4166749818596,4.91665660459406 52.4162861557255,4.91571439686066 52.4155197167896,4.91485905199936 52.415894025063)))","10564336",{4D299B2B-A91E-4C2F-B8FE-CD7D33061143},Sportpark Kadoelen,Sportpark Kadoelen 03,Sportveld (verhard),Kunststofverharding,SPN-KAD-02,Voetbal,0,Kunstgras — kurk,7737.23736,358.79745
